course_code,course_name,faculty,department,Academic_Level,programme,year,semester,is_jan_april_2026_offering
ANSC 824,LIVESTOCK FEEDS AND TECHNOLOGY STREAMS: M.SC AGED,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Postgraduate Level,2,0
ANSC 826,BIOTECHNOLOGY IN ANIMAL NUTRITION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Postgraduate Level,2,0
ANHE 111,GROSS ANATOMY AND EMBRYOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 1,1,0
ANSC 111,INTRODUCTION TO ANIMAL SCIENCE,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 1,1,0
ANHE 215,ANIMAL PHYSIOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,0
ANPT 231,MEAT QUALITY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,0
ANSC 221,"ENVIRNOMENTAL PHYSIOLOGY, ETHOLOGY AND ANIMAL WELFARE",Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,1
ANSC 231,ANIMAL NUTRITION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,1
ANSC 241,QUANTITATIVE GENETICS AND ANIMAL BREEDING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,1
ANSC 265,AQUACULTURE,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,1
ANSC 271,ANIMATICS (PRACTICAL),Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,1,0
ANHE 210,GROSS ANATOMY AND EMBRYOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,2,0
ANHE 212,ANHE 212/5: ANIMAL PHYSIOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,2,0
ANHE 216,REPRODUCTIVE PHYSIOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,2,1
ANPT 232,MILK MICROBIOLOGY AND HYGIENE,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 2,2,0
ANSC 333,ANIMAL NUTRITION AND LIVESTOCK FEEDING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,1,0
ANSC 351,DAIRY CATTLE PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,1,1
ANSC 359,PRINCIPLES OF ANIMAL PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,1,1
ANHE 322,MICROBIAL DISEASES,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,0
ANPT 342,MEAT EDIBLE BY-PRODUCTS PROCESSING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,0
ANSC 332,FEEDS AND FEEDING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,0
ANSC 334,BIOTECHNOLOGY IN ANIMAL NUTRITION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,0
ANSC 342,BIOTECHNOLOGY IN ANIMAL BREEDING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,1
ANSC 362,PIG PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,1
ANSC 372,DESIGN AND ANALYSIS OF ANALYSIS EXPERIMENTS,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 3,2,1
ANHE 423,VETERINARY PARASITOLOGY AND PARASITIC DISEASES,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANPT 433,ANIMAL PRDUCTS AND BY PRODUCTS RELATED LAWS,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANPT 443,SLAUGHTERING AND MEAT GRADING,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANPT 453,HIVE PRODUCTS PROCESSING TECHNOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANPT 461,INEDIBLE MEAT BY-PRODUCTS PROCESSING TECHNOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANSC 453,SHEEP PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANSC 455,ANIMAL BY-PRODUCTS,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,1
ANSC 461,POULTRY PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,0
ANSC 463,RABBIT PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,1
ANSC 467,NON-CONVENTIONAL FARM ANIMALS,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,1,1
ANHE 426,ANHE 426/427: INTRODUCTION TO ANIMAL DISEASES,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ANPT 454,EGG SCIENCE TECHNOLOGY,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,0
ANSC 450,RUMINANT PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ANSC 452,ANSC452: BEEF CATTLE PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,0
ANSC 454,GOAT PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,0
ANSC 456,CAMEL PRODUCTION,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ANSC 460,NON-RUMINANT PRODUCTION I,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ANSC 464,EQUINE MANAGEMENT,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ANSC 466,APICULTURE AND SERICULTURE,Faculty of Agriculture,Department of Animal Science,Bachelor,B.Sc. in Animal Science,Year 4,2,1
ACSC 101,INTRODUCTION TO INFORMATION TECHNOLOGY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 1,1,0
ACSC 111,PRINCIPLES OF COMPUTER SYSTEM MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 1,1,0
ACSC 121,PROGRAMMING PARADIGMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 1,1,0
ACSC 102,INTRODUCTION TO DIGITAL LOGIC,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 1,2,0
ACSC 122,INTRODUCTION TO STRUCTURAL PROGRAMMING USING C,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 1,2,0
ACSC 223,"OBJECT ORIENTED PROGRAMMING, JAVA (1)",Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,0
ACSC 225,DATA STRUCTURES AND ALGORITHMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,1
ACSC 231,USER INTERFACE PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,1
ACSC 261,FOUNDATIONS OF DATA COMMUNICATIONS AND NETWORKS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,0
ACSC 271,ACSC 271/ACMP 203: MATHEMATICAL METHODS FOR COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,0
ACSC 273,E-BUSINESS FUNDAMENTALS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,1,1
ACSC 224,STRUCTURAL PROGRAMMING PRINCIPLES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,2,1
ACSC 226,WEB DESIGN AND DEVELOPMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,2,1
ACSC 272,ACSC 272/COSC 471: SOCIAL IMPLICATIONS OF INFORMATION TECHNOLOGY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 2,2,1
ACSC 327,WEB PROGRAMMING AND ADMINISTRATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,1,0
ACSC 333,SOFTWARE ENGINEERING I,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,1,0
ACSC 351,INTRODUCTION TO DATABASES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,1,0
ACSC 371,"PROFESSIONAL COMPUTING ETHICS, LAWS AND MARKETING",Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,1,0
ACSC 381,& COSC 380: RESEARCH METHODS IN COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,1,0
ACSC 328,OBJECT ORIENTED PROGRAMMING (IN C++),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,2,1
ACSC 332,DESKTOP APPLICATION AND DEVELOPMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,2,0
ACSC 352,FILE STRUCTURES AND DATABASE SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 3,2,1
ACSC 429,UNIX SYSTEMS ADMINISTRATION AND PROGRAMMING (LINUX),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,1,1
ACSC 475,WEB MEDIA TECHNOLOGIES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,1,0
ACSC 477,EMERGING TECHNOLOGIES IN APPLIED COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,1,0
ACSC 479,TECHNO-PRENEURSHIP AND CAREER CHOICES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,1,1
ACSC 434,SOFTWARE ENGINEERING II,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,2,0
ACSC 462,COMPUTER AND NETWORK SECURITY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,2,1
ACSC 478,COMPUTER ANIMATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Applied Computer Science),Year 4,2,1
BIOC 0011,BIOC 00113: INTRODUCTION TO GENERAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Certificate/Diploma Level,1,1
BIOC 0113,BASIC BIOCHEMISTRY STREAMS: DIPLOMA AGED,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Certificate/Diploma Level,1,1
BIOC 850,ADVANCES IN PLANT BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Postgraduate Level,2,0
BIOC 100,INTRODUCTION TO BIIOCHEMISTRY AND BIODIVERSITY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 1,2,1
BIOC 201,PHYSICAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,0
BIOC 203,BIOCHEMISTRY OF LIPIDS STREAMS: BSC (BIOC),Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,0
BIOC 205,BIOCHEMISTRY OF VITAMINS AND MINERALS,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,1
BIOC 215,BIOCHEMISTRY OF VITAMINS AND MINERALS,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,0
BIOC 221,BASIC METABOLISM II,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,1
BIOC 241,INTEGRATED LABORATORY TECHNIQUES I,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,1,1
BIOC 200,BIOC 200/BIOC 204: INTRODUCTORY BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,1
BIOC 202,BIOCHEMISTRY OF CARBHOHYDRATES,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,0
BIOC 204,BIOC 204/206: BIOCHEMISTRY OF AMINO ACIDS AND PROTEIN,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,1
BIOC 208,BIOCHEMISTRY OF CARBOHYDRATES,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,0
BIOC 220,BASIC METABOLISM 1,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,1
BIOC 222,XENOBIOTICS METABOLISM AND DRUG DEVELOPMENT,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,1
BIOC 230,FUNDAMENTALS OF BIOTECHNOLOGY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,0
BIOC 240,BIOCHEMICAL INSTRUMENTATION STREAMS:BSC BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 2,2,0
BIOC 305,INDUSTRIAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 307,BIOC 307/335: ANTIBIOTICS,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 309,BIIOCHEMISTRY OF GENE EXPRESSION,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 311,BIOMEMBRANES AND BIOSIGNALING STREAMS: BSC BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 313,NUTRITIONAL BIOCHEMISTRY STREAMS: BSC BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 315,BIOCHEMISTRY OF FOOD PROCESSING,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,1
BIOC 331,BIOCHEMISTRY OF PATHOGENIC BACTERIA & FUNGI STREAMS: BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,0
BIOC 333,MICROBIAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,1
BIOC 335,THIRD YEAR EXAMINATION BIOC 335: ANTIBIOTICS,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,1
BIOC 351,BIOCHEMISTRY OF GENE EXPRESSION,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,1,1
BIOC 302,BIOCHEMICAL BACTERIOLOGY AND MYCOLOGY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 304,BASIC NUTRITION,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 306,BIOMEMBRANES AND CELLULAR SIGNALING,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 310,ENZYMOLOGY (2019/2020),Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 312,BIOCHEMISTRY OF FOOD PROCESSING,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 314,ENVIRONMENTAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,1
BIOC 330,BIOCHEMISTRY OF NUCLEIC ACIDS,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 332,BIOCHEMISTRY OF PARASITES STREAMS: BSC BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 334,INDUSTRIAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,1
BIOC 342,INTEGRATED LABORATORY TECHNIQUES II,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,1
BIOC 350,BIOCHEMISTRY OF NUCLEIC ACIDS STREAMS: BSC BIOC Y3S1,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 394,RADIOBIOLOGY AND RADIOTRACER TECHNIQUE,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 3,2,0
BIOC 401,SPECIAL METABOLISM,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 403,CLINICAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 405,REPRODUCTIVE BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 409,DNA TECHNOLOGY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 415,PLANT BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 417,MEDICAL BIOCHEMISTRY II,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,1
BIOC 423,SPECIAL METABOLISM STREAMS: BIOC,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 425,METABOLISM REGULATIONS AND INTEGRATION,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,1
BIOC 443,INTERGRATED LABORATORY TECHNIQUES III,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,1
BIOC 451,DIAGNOSTIC MICROBIOLOGY AND PARASITOLOGY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,1,0
BIOC 418,COMPARATIVE ANIMAL BIOCHEMISTRY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,2,1
BIOC 424,BIOCHEMICAL ENDOCRINOLOGY,Faculty of Science & Technology,Department of Physical Sciences,Bachelor,Bachelor of Science in Biochemistry,Year 4,2,1
