course_code,course_name
ANSC 351,DAIRY CATTLE PRODUCTION
ANSC 359,PRINCIPLES OF ANIMAL PRODUCTION
ANSC 362,PIG PRODUCTION
ANSC 372,DESIGN AND ANALYSIS OF ANALYSIS EXPERIMENTS
ANSC 450,RUMINANT PRODUCTION
ANSC 452,ANSC452: BEEF CATTLE PRODUCTION
ANSC 453,SHEEP PRODUCTION
ANSC 454,GOAT PRODUCTION
ANSC 455,ANIMAL BY-PRODUCTS
ANSC 456,CAMEL PRODUCTION
ANSC 460,NON-RUMINANT PRODUCTION I
ANSC 461,POULTRY PRODUCTION
ANSC 463,RABBIT PRODUCTION
ANSC 464,EQUINE MANAGEMENT
ANSC 466,APICULTURE AND SERICULTURE
ANSC 467,NON-CONVENTIONAL FARM ANIMALS
ANSC 713,STATISTICAL COMPUTING IN ANIMAL NUTRITION
ANSC 813,STATISTICAL COMPUTING IN ANIMAL NUTRITION
ANSC 824,LIVESTOCK FEEDS AND TECHNOLOGY STREAMS: M.SC AGED
ANSC 826,BIOTECHNOLOGY IN ANIMAL NUTRITION
ATH 341,SAMPLING METHODS I
BBAM 103,BBAM 103/ECON 121/BCOM 104: PRINCIPLES OF MACROECONOMICS
BBAM 211,BCOM/BBAM 211: INTERMEDIATE ACCOUNTING 1
BBAM 241,BCOM/BBAM 241: RISK AND INSURANCE
BBAM 300,BBAM 300/BCOM 300/AGMB 231/BUST 312: ORGANISATIONAL THEO
BBAM 301,BBAM 301/BPSM 301: INVESTMENT MANAGEMENT
BBAM 303,BCOM/BBAM 303: BUSINESS LAW II
BBAM 371,BCOM/BBAM 371/BCOM 361: OPERATIONS RESEARCH II
BBAM 401,ENTREPRENEURSHIP
BBAM 402,STRATEGIC MANAGEMENT
BBAM 404,BCOM/BBAM 404: ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT
BBAM 472,BCOM/BBAM 472: TOTAL QUALITY MANAGEMENT
BCHM 111,INTRODUCTION TO HOSPITALITY AND HOTEL MANAGEMENT
BCHM 112,KITCHEN ORGANIZATION AND FOOD KNOWLEDGE
BCHM 121,INTRODUCTION TO FOOD PRODUCTION
BCHM 131,INTRODUCTION TO FOOD AND BEVERAGE SERVICE
BCHM 151,FOOD AND BEVERAGE SERVICE I
BCHM 161,HOSPITALITY IN BUSINESS COMPUTING
BCHM 211,"HUMAN NUTRITION, HYGIENE AND SAFETYv"
BCHM 212,FRONT OFFICE MANAGEMENT
BCHM 221,INTERMEDIATE FOOD PRODUCTION
BCHM 222,INTERNATIONAL CUISINES
BCHM 231,FOOD AND BEVERAGE SYSTEMS
BCHM 232,BAR AND BEVERAGE MANAGEMENT
BCHM 241,HOUSEKEEPING AND LAUNDRY MANAGEMENT I
BCHM 242,HOUSEKEEPING AND LAUNDRY MANAGEMENT II
BCHM 251,QUANTITATIVE FOODS
BCHM 252,FOOD AND BEVERAGE SERVICE II
BCHM 253,MODERN CULINARY TRENDS AND TECHNIQUES
BCHM 254,CATERING AND SPECIAL EVENTS MANAGEMENT
BCHM 271,HOSPITALITY PROPERTY MANAGEMENT
BCHM 300,BTOM 381/ BTHM 471: RESEARCH METHODS
BCHM 302,ENVIRONMENTAL MANAGEMENT FOR HOTELS
BCHM 303,TRAVEL RESERVATIONS SYSTEMS
BCHM 330,HOUSEKEEPING AND LAUNDRY MANAGEMENT III
BCHM 331,HOSPITALITY MARKETING MANAGEMENT
BCHM 332,FOOD AND BEVERAGE SUPERVISION
BCHM 340,FOOD AND BEVERAGE SERVICE III
BCHM 341,HOUSEKEEPING AND LAUNDRY MANAGEMENT III
BCHM 342,HOTEL INFORMATION SYSTEMS
BCHM 343,HOTEL AND CATERING LAW
BCHM 351,HOSPITALITY SERVICES MARKETING
BCHM 352,HOTEL PRODUCTION AND OPERATIONS MANAGEMENT
BCHM 353,HOSPITALITY MARKETING MANAGEMENT
BCHM 361,HOTEL INFORMATION SYSTEMS
BCHM 362,PHYSICAL PLANT DEVELOPMENT AND MAINTENANE C
BCHM 363,APPLIED COSTING FOR HOTELS
BCHM 371,HOSPITALITY CHAIN OPERATIONS MANAGEMENT
BCHM 372,BRAND MANAGEMENT
BCHM 373,BRAND MANAGEMENT
BCHM 374,CROSS CULTURAL MANAGEMENT IN HOSPITALITY
BCHM 381,HOSPITALITY RESEARCH METHODS
BCHM 391,HOTEL AND CATERING LAW
BCHM 400,HOTEL ECONOMICS
BCHM 401,CLUB MANAGEMENT
BCHM 403,TECHNIQUES OF SUPERVISION
BCHM 404,ENTREPRENWURSHIP IN HOSPITALITY AND TOURISM
BCHM 411,HOTEL ECONOMICS
BCHM 421,BCHM 421/BCHM 363: APPLIED COSTING FOR HOTELS
BCHM 430,HOTEL FACILITIES AND OPERATIONS MANAGEMENT
BCHM 431,PRINCIPLES OF HOSPITALITY FRANCHISE MANAGEMENT
BCHM 432,TOURISM AND THE ENVIRONMENT
BCHM 434,BANQUET MANAGEMENT AND OPERATIONS
BCHM 435,BCHM 435E: RESTAURANT ENTREPREURSHIP
BCHM 440,FOOD AND BEVERAGE SERVICE IV
BCHM 441,QUALITY BREWING AND FINE BEER
BCHM 451,PRINCIPLES OF HOSPITALITY FRANCHISE MANAGEMENT
BCHM 452,QUALITY BREWING AND FINE BEER
BCHM 462,HOTEL QUANTITATIVE ANALYSIS
BCHM 471,ENTERTAINMENT OPERATIONS MANAGEMENT
BCHM 472,HOTEL FACILITIES AND OPERATIONS MANAGEMENT
BCHM 473,TECHNIQUES OF SUPERVISION
BCHM 474,PRINCIPLES OF HOSPITALITY FRANCHISE MANAGEMENT
BCHM 475,STRATEGIC SERVICE DESIGN
BCHM 476,BANQUET OPERATIONS AND MANAGEMENT
BCOM 101,BCOM 101/BCOM 100/BUST 111: INTRODUCTION TO BUSINESS
BCOM 102,/ ECON 111: PRINCIPLES OF MICROECONOMICS
BCOM 103,BCOM 103/CRSS 420/BCOM 102: PRINCIPLES OF MANAGEMENT
BCOM 104,BCOM 104/ECON 121/BBAM 103: PRINCIPLES OF MACROECONOMICS
BCOM 111,PRINCIPLES OF ACCOUNTING (RESIT/ SPECIAL EXAMINATION)
BCOM 112,BCOM 112/111: PRINCIPLES OF ACCOUNTING II
BCOM 161,BUSINESS MATHEMATICS 1 STREAMS:BCOM/BEEM Y1S1 ODEL
BCOM 162,BUSINESS MATHEMATICS II STREAMS:BCOM Y1S2
BCOM 163,COMPUTER APPLICATIONS IN BUSINESS
BCOM 171,BCOM/BCOM 171/162: BUSINESS MATHEMATICS II
BCOM 172,FUNDAMENTALS OF COMPUTERS
BCOM 202,BUSINESS LAW I
BCOM 211,BCOM 211/BUST 211: INTERMEDIATE ACCOUNTING 1/ INTERMEDIATE FINANCIAL ACCOUNTING
BCOM 212,BCOM 212/BBAM 212/BCOM 213: INTERMEDIATE ACCOUNTING II
BCOM 213,INTERMEDIATE ACCOUNTING II - ODEL
